researcher_id,openalex_id,orcid,full_name,name_variants,openalex_profile_url,identity_status,identity_confidence,identity_match_method,institution_id,institution_name_raw,institution_name_normalized,institution_country_code,institution_type,publication_count,works_count_source,citation_count,h_index,first_publication_year,latest_publication_year,career_span_years,publications_last_3y,publications_last_5y,avg_citations_per_work,publication_cagr_3y,spatial_transcriptomics_flag,spatial_transcriptomics_count,single_cell_flag,single_cell_count,visium_flag,visium_count,xenium_flag,xenium_count,merfish_flag,merfish_count,slide_seq_flag,slide_seq_count,atac_seq_flag,atac_seq_count,multiome_flag,multiome_count,ngs_flag,technology_diversity_count,technology_recency_year,unique_coauthor_count,institution_collaboration_count,primary_source,evidence_count,feature_completeness_rate,record_quality_score,collection_run_id,pipeline_version,ontology_version,feature_dictionary_version,collected_at,validation_issue_count,warning_count
A5076943605,A5076943605,0000-0002-5619-2430,Eunsung Jun,E. Sadatsune JUN|EUNSUNG JUN|Eun-Sung Jun|Eunsung JUN|Eunsung Jun,https://openalex.org/A5076943605,verified,1.0,provided_openalex_id,I116631150,Ulsan College,Ulsan College,KR,education,120,OpenAlex,1845,25,2000,2026,27,21,54,15.375,-0.6316,0,0,1,5,0,0,0,0,0,0,0,0,1,1,1,1,0,3,2026,458,107,OpenAlex,73,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
A5077187526,A5077187526,0000-0002-9288-6341,Gyeong Dae Kim,Gyeong Dae Kim,https://openalex.org/A5077187526,verified,1.0,provided_openalex_id,I136199984,Harvard University,Harvard University,US,education,9,OpenAlex,814,5,2021,2026,6,7,8,90.4444,2.5,1,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2026,85,29,OpenAlex,72,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
A5080393838,A5080393838,0000-0003-4786-4749,Nirmali Sharma,Nirmali Sharma,https://openalex.org/A5080393838,verified,1.0,provided_openalex_id,I139264467,Seoul National University,Seoul National University,KR,education,6,OpenAlex,60,4,2021,2024,4,2,5,10.0,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,6,OpenAlex,72,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
A5080425676,A5080425676,0000-0003-0765-9812,Dong‐Youn Lee,D Lee|D.Y. Lee|DONG-YOUN LEE|DONG‐YOUN LEE|Dong-Youn Lee|Dong-Youn Lee MD|Dongyoun Lee|Dong‐Youn LEE|Dong‐Youn Lee,https://openalex.org/A5080425676,verified,1.0,provided_openalex_id,I2802194831,Samsung Medical Center,Samsung Medical Center,KR,healthcare,235,OpenAlex,3328,31,1996,2025,30,19,42,14.1617,-0.4412,1,7,1,15,0,0,0,0,0,0,0,0,0,0,1,1,1,4,2024,428,119,OpenAlex,72,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
A5083630059,A5083630059,0000-0001-6412-3067,An Na Seo,"A N Seo|A. N. Seo|A. Seo|A.N. Seo|AN NA SEO|AN Seo|An Na Seo|An Na Seo|Arim Seo|Seo, A.N.|Seo, Ara",https://openalex.org/A5083630059,verified,1.0,provided_openalex_id,I2801673063,Kyungpook National University Hospital,Kyungpook National University Hospital,KR,healthcare,160,OpenAlex,3584,31,2011,2026,16,19,44,22.4,-0.4571,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2026,541,125,OpenAlex,72,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
A5084508227,A5084508227,0000-0001-8361-8401,Jai Hee Bae,Jai Hee Bae,https://openalex.org/A5084508227,verified,1.0,provided_openalex_id,I2802194831,Samsung Medical Center,Samsung Medical Center,KR,healthcare,11,OpenAlex,147,4,2020,2024,5,1,10,13.3636,-0.8889,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2022,31,10,OpenAlex,72,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
A5085902390,A5085902390,0000-0003-1881-9869,Eun Jung Choi,Eun Jung Choi|Eun-Jung Choi,https://openalex.org/A5085902390,verified,1.0,provided_openalex_id,I31419693,Kyungpook National University,Kyungpook National University,KR,education,20,OpenAlex,485,7,2009,2025,17,4,8,24.25,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,107,40,OpenAlex,72,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
A5087294413,A5087294413,0000-0002-2676-9454,Sungwoong Kim,"Kim, Sungwoong|Sungwoong Kim",https://openalex.org/A5087294413,verified,1.0,provided_openalex_id,I197347611,Korea University,Korea University,KR,education,87,OpenAlex,4029,25,1999,2026,28,26,40,46.3103,0.3,1,2,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,4,2025,348,122,OpenAlex,73,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
A5089359189,A5089359189,0000-0001-9786-5286,Eunhye Yeo,Eunhye Yeo,https://openalex.org/A5089359189,verified,1.0,provided_openalex_id,I2250650973,Samsung (South Korea),Samsung (South Korea),KR,company,9,OpenAlex,185,5,2019,2024,6,3,8,20.5556,-0.4,1,4,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2024,22,4,OpenAlex,72,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
A5090481007,A5090481007,0000-0001-5123-0322,Hae‐Ock Lee,"HAE‐OCK LEE|Hae-Ock Lee|Hae-ock Lee|Hae‐Ock Lee|Hae‐ock Lee|Hae–Ock Lee|Hyunsook Lee|Lee Hae‐Ock|Lee, Hae-Ock",https://openalex.org/A5090481007,verified,1.0,provided_openalex_id,I87111246,Catholic University of Korea,Catholic University of Korea,KR,education,161,OpenAlex,6634,31,1996,2026,31,19,67,41.205,-0.62,1,1,1,255,0,0,0,0,0,0,0,0,0,0,1,2,1,4,2026,459,90,OpenAlex,73,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
A5100348070,A5100348070,0000-0003-3202-750X,Nayoung Kim,NAYOUNG KIM|Na-Young Kim|Nayoung Kim,https://openalex.org/A5100348070,verified,1.0,provided_openalex_id,I157485424,Korea Advanced Institute of Science and Technology,Korea Advanced Institute of Science and Technology,KR,education,103,OpenAlex,3748,22,2008,2024,17,17,62,36.3883,-0.6458,1,1,1,92,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2024,355,93,OpenAlex,73,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
A5100380876,A5100380876,0000-0002-7667-9588,Jin Kim,"J Kim|Jin Kim|Kim, Jin",https://openalex.org/A5100380876,verified,1.0,provided_openalex_id,I141371507,Soongsil University,Soongsil University,KR,education,151,OpenAlex,5653,35,1993,2026,34,7,22,37.4371,-0.65,1,4,1,10,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2025,758,160,OpenAlex,73,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
A5100406800,A5100406800,,Eun Ji Lee,Eun Ji Lee,https://openalex.org/A5100406800,verified,1.0,provided_openalex_id,I139264467,Seoul National University,Seoul National University,KR,education,17,OpenAlex,71,4,2011,2024,14,3,11,4.1765,-0.7273,1,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2024,38,14,OpenAlex,71,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
A5100436303,A5100436303,0000-0002-8832-3052,Dae Ho Lee,DAE HO LEE|Dae Ho Lee|Dae Ho  Lee,https://openalex.org/A5100436303,verified,1.0,provided_openalex_id,I4210117633,Shinhwa Medical (South Korea),Shinhwa Medical (South Korea),KR,company,60,OpenAlex,1577,23,2001,2026,26,10,21,26.2833,-0.4737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2022,327,142,OpenAlex,72,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
A5100436321,A5100436321,0000-0003-1627-6557,Dong Soo Lee,"D. S. LEE|D.S. LEE|D.S. Lee|Dong Soo Lee|Dong Soo Lee|Dong Soo Lee|Lee, Dong Soo",https://openalex.org/A5100436321,verified,1.0,provided_openalex_id,I123900574,Pohang University of Science and Technology,Pohang University of Science and Technology,KR,education,236,OpenAlex,5218,40,1986,2025,40,8,25,22.1102,-0.7143,1,27,1,22,1,2,0,0,0,0,1,2,0,0,0,0,0,4,2024,543,129,OpenAlex,73,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
A5100625452,A5100625452,0000-0003-4522-9928,Jeong Hwan Park,"J H Park|J. H. PARK|J. H. Park|J.-H. Park|J.H Park|J.H. Park|JEONG-HWAN PARK|Jeong -Hwan Park|Jeong Hwan Park|Jeong Whan Park|Jeong-Hwan Park|Jeong-Whan Park|Jeong-hwan Park|Jeonghwan Park|Jeong Hwan Park|Jeong‐Hwan Park|Jeong‐hwan Park|Park, Jeong Hwan|Park, Jeong-hwan",https://openalex.org/A5100625452,verified,1.0,provided_openalex_id,I4210120052,National Cancer Center,National Cancer Center,KR,healthcare,217,OpenAlex,3468,29,1988,2026,39,41,75,15.9816,-0.0889,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2025,1094,242,OpenAlex,72,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
A5100626021,A5100626021,0000-0001-6828-401X,Dongjun Lee,"D Lee|Dong Jun Lee|Dong-Jun LEE|Dong-Jun Lee|Dong-jun Lee|Dongjun LEE|Dongjun Lee|Dong‐Jun Lee|Lee, Dong-Jun|Lee, Dongjun",https://openalex.org/A5100626021,verified,1.0,provided_openalex_id,I139264467,Seoul National University,Seoul National University,KR,education,233,OpenAlex,5962,33,1998,2026,29,48,88,25.588,-0.1579,1,2,1,14,1,1,0,0,0,0,0,0,0,0,0,0,1,4,2025,941,228,OpenAlex,73,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
A5100713453,A5100713453,0000-0003-0077-1924,Sunmin Kim,Sun-Min Kim|Sunmin Kim,https://openalex.org/A5100713453,verified,1.0,provided_openalex_id,I87111246,Catholic University of Korea,Catholic University of Korea,KR,education,21,OpenAlex,218,6,2000,2026,27,4,6,10.381,0.3333,1,6,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,3,2026,100,26,OpenAlex,73,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
A5100719073,A5100719073,0000-0002-7993-9701,Tae‐Min Kim,"Kim, Tae-Min|Kim, Tae-Min;Yeo, Ji-Young;Park, Chan-Sun;Rhee, Moon-Soo;Jung, Myeong-Ho;|Kim, Taemin|T. M. Kim|T.-M. Kim|Tae Kim|Tae Min Kim|Tae-Min KIM|Tae-Min Kim|Tae-min Kim|Taemin Kim|Tae‐Min Kim|Tae–Min Kim",https://openalex.org/A5100719073,verified,1.0,provided_openalex_id,I1313458441,Catholic Medical Center,Catholic Medical Center,US,healthcare,347,OpenAlex,8421,51,2002,2026,25,42,160,24.268,-0.6557,1,7,1,19,1,2,0,0,0,0,0,0,0,0,0,0,1,4,2026,1198,315,OpenAlex,71,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
A5100723831,A5100723831,0000-0003-4183-4338,Seungchan Kim,"Kim, Seungchan|S. Kim|SEUNGCHAN KIM|Seungchan Kim",https://openalex.org/A5100723831,verified,1.0,provided_openalex_id,I4210092004,Plastic Surgery Hospital,Plastic Surgery Hospital,CN,healthcare,229,OpenAlex,8588,39,1987,2025,39,9,47,37.5022,-0.7955,0,0,1,48,0,0,0,0,0,0,0,0,0,0,1,1,1,3,2024,985,260,OpenAlex,71,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
A5100726747,A5100726747,0000-0003-3650-4932,Sumin Lee,Sumin LEE|Sumin Lee,https://openalex.org/A5100726747,verified,1.0,provided_openalex_id,I1335415512,Korea Meteorological Administration,Korea Meteorological Administration,KR,government,39,OpenAlex,423,11,2016,2026,11,13,29,10.8462,-0.3158,1,15,1,12,0,0,1,12,0,0,0,0,0,0,0,0,1,4,2026,175,62,OpenAlex,72,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
