researcher_id_a,researcher_id_b,window,joint_publication_count,first_joint_year,latest_joint_year,source,collected_at,run_id
A5004427808,A5016008254,all,1,2023,2023,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5004427808,A5100740580,all,1,2023,2023,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5004427808,A5073268857,all,1,2023,2023,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5004427808,A5014147627,all,1,2023,2023,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5004427808,A5100436321,all,2,2021,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5005712891,A5050948502,all,24,2014,2023,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5005712891,A5028507019,all,16,2021,2025,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5005712891,A5017051670,all,3,2023,2025,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5005712891,A5111031978,all,2,2023,2023,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5005712891,A5050317153,all,1,2005,2005,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5006671739,A5045410556,all,1,2023,2023,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5006671739,A5064908728,all,1,2023,2023,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5006671739,A5016008254,all,1,2023,2023,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5006671739,A5100740580,all,2,2023,2025,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5006671739,A5073268857,all,1,2023,2023,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5006671739,A5014147627,all,1,2023,2023,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5006671739,A5038666848,all,1,2023,2023,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5006671739,A5015062816,all,1,2025,2025,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5007465704,A5044769724,all,7,2022,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5007465704,A5058349680,all,30,2020,2025,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5007465704,A5019834339,all,1,2024,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5007465704,A5045748813,all,1,2024,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5007465704,A5110118275,all,1,2024,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5007465704,A5042100493,all,1,2024,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5007465704,A5052722112,all,1,2024,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5007465704,A5044524626,all,1,2024,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5007465704,A5100626021,all,7,2021,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5007465704,A5011818793,all,1,2024,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5007465704,A5055121468,all,3,2022,2026,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5007465704,A5101765150,all,1,2024,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5007465704,A5030936631,all,2,2022,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5007465704,A5101966875,all,1,2024,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5007465704,A5036203067,all,1,2024,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5008352862,A5011818793,all,1,2016,2016,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5008352862,A5023527433,all,13,2020,2025,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5008352862,A5014354862,all,1,2024,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5008352862,A5024506731,all,1,2024,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5008352862,A5110208084,all,1,2024,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5008352862,A5029278469,all,1,2024,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5008352862,A5070011199,all,1,2024,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5008352862,A5113080525,all,1,2024,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5008352862,A5112655953,all,1,2024,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5008352862,A5100713453,all,1,2024,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5008352862,A5042831733,all,1,2024,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5008352862,A5103233378,all,1,2024,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5008352862,A5056137004,all,1,2024,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5008352862,A5114549702,all,1,2024,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
